File,Lines (% total),Code Lines,% Code,Comment Lines,% Comment,Blank Lines,% Blank
Main.java,57 (100.0%),43,75.4%,11,19.3%,3,5.3%
EventBase.java,19 (25.0%),14,73.7%,0,0.0%,5,26.3%
EventManager.java,92 (54.8%),77,83.7%,5,5.4%,10,10.9%
EventPriorities.java,13 (7.2%),10,76.9%,0,0.0%,3,23.1%
EventTypes.java,21 (10.4%),17,81.0%,0,0.0%,4,19.0%
GameTimes.java,9 (4.3%),8,88.9%,0,0.0%,1,11.1%
KeyInputEvent.java,88 (29.4%),74,84.1%,0,0.0%,14,15.9%
MouseInputEvent.java,85 (22.1%),67,78.8%,1,1.2%,17,20.0%
RenderEvent.java,15 (3.8%),12,80.0%,0,0.0%,3,20.0%
TickEvent.java,24 (5.7%),19,79.2%,0,0.0%,5,20.8%
ImageMenu.java,75 (15.1%),64,85.3%,4,5.3%,7,9.3%
PixelPopUp.java,181 (26.7%),160,88.4%,2,1.1%,19,10.5%
TextMappingPopUp.java,160 (19.1%),142,88.8%,3,1.9%,15,9.4%
BasicMenu.java,10 (1.2%),7,70.0%,0,0.0%,3,30.0%
FileMenu.java,118 (12.2%),101,85.6%,3,2.5%,14,11.9%
MainMenu.java,68 (6.6%),60,88.2%,0,0.0%,8,11.8%
PictureEditorManager.java,166 (13.8%),141,84.9%,1,0.6%,24,14.5%
PictureEditorMenu.java,164 (12.0%),137,83.5%,5,3.0%,22,13.4%
ToolbarMenu.java,178 (11.5%),152,85.4%,7,3.9%,19,10.7%
IRecievesEvent.java,36 (2.3%),29,80.6%,0,0.0%,7,19.4%
OpenScreen.java,7 (0.4%),6,85.7%,0,0.0%,1,14.3%
RenderableObject.java,48 (2.9%),37,77.1%,0,0.0%,11,22.9%
ScreenManager.java,483 (22.8%),387,80.1%,23,4.8%,73,15.1%
Colors.java,24 (1.1%),21,87.5%,0,0.0%,3,12.5%
FontCharacter.java,37 (1.7%),29,78.4%,0,0.0%,8,21.6%
JojoFont.java,69 (3.1%),63,91.3%,0,0.0%,6,8.7%
TextRenderer.java,71 (3.1%),63,88.7%,1,1.4%,7,9.9%
Button.java,82 (3.4%),68,82.9%,0,0.0%,14,17.1%
ClickableObject.java,16 (0.7%),12,75.0%,0,0.0%,4,25.0%
Dimensions.java,28 (1.1%),21,75.0%,0,0.0%,7,25.0%
InteractableObject.java,63 (2.5%),53,84.1%,0,0.0%,10,15.9%
Logger.java,54 (2.1%),46,85.2%,0,0.0%,8,14.8%
PixelData.java,86 (3.2%),71,82.6%,0,0.0%,15,17.4%
Point.java,125 (4.5%),98,78.4%,0,0.0%,27,21.6%
Texture.java,220 (7.4%),186,84.5%,2,0.9%,32,14.5%
FileManager.java,17 (0.6%),13,76.5%,0,0.0%,4,23.5%
FileObject.java,30 (1.0%),23,76.7%,0,0.0%,7,23.3%
FolderObject.java,43 (1.4%),35,81.4%,0,0.0%,8,18.6%
ImageObject.java,119 (3.7%),99,83.2%,4,3.4%,16,13.4%
Total,3201,2665,0.8,72,0.0,464,0.1